cid,dayhours,price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,yr_built,yr_renovated,zipcode,lat,long,living_measure15,lot_measure15,furnished,total_area
7387500185,20140521T000000,249900,2.0,1.0,1140.0,5500.0,1,0,0.0,3,6.0,1140.0,0.0,1947,0,98106,47.5187,-122.363,1110.0,5500.0,0.0,6640
2310110120,20140808T000000,365000,3.0,2.5,2190.0,5091.0,2,0,0.0,3,8.0,2190.0,0.0,2004,0,98038,47.3506,-122.039,2200.0,5948.0,0.0,7281
8567300150,20141031T000000,370000,4.0,2.75,2420.0,39704.0,1,0,0.0,3,9.0,2420.0,0.0,1985,0,98038,47.4053,-122.03,2760.0,36303.0,1.0,42124
4222310290,20140819T000000,253000,4.0,2.0,1910.0,7826.0,1,0,0.0,4,7.0,1140.0,770.0,1973,0,98003,47.3493,-122.306,1540.0,7826.0,0.0,9736
9284801435,20141203T000000,471000,4.0,1.75,1760.0,5750.0,1,0,2.0,5,7.0,1070.0,690.0,1962,0,98126,47.5521,-122.373,1860.0,5750.0,0.0,7510
9158100090,20150427T000000,550500,3.0,1.75,2540.0,8280.0,1,0,0.0,3,7.0,1270.0,1270.0,1949,0,98177,47.7219,-122.358,1950.0,8280.0,0.0,10820
2516000486,20140701T000000,402500,2.0,1.0,800.0,2280.0,1,0,0.0,5,6.0,800.0,0.0,1946,0,98107,47.6588,-122.362,1310.0,4200.0,0.0,3080
3205100060,20150413T000000,517100,3.0,1.75,1580.0,9719.0,1,0,0.0,5,7.0,1580.0,0.0,1962,0,98056,47.5396,-122.18,1760.0,8539.0,0.0,11299
3188100007,20141022T000000,380000,3.0,2.5,1610.0,1778.0,3,0,0.0,3,7.0,1610.0,0.0,2002,0,98115,47.6902,-122.306,1120.0,2187.0,0.0,3388
2937300440,20140908T000000,923990,4.0,2.5,3600.0,6055.0,2,0,0.0,3,9.0,3600.0,0.0,2014,0,98052,47.7053,-122.126,3590.0,6050.0,1.0,9655
8669180150,20150326T000000,300000,4.0,3.0,1984.0,4419.0,2,0,0.0,3,7.0,1984.0,0.0,2010,0,98002,47.3514,-122.213,2440.0,4418.0,0.0,6403
7202341110,20150313T000000,702000,4.0,2.5,3280.0,5876.0,2,0,0.0,3,7.0,3280.0,0.0,2004,0,98053,47.6802,-122.034,2600.0,5000.0,0.0,9156
3024089049,20140609T000000,280000,2.0,1.75,1610.0,158558.0,1.5,0,0.0,2,6.0,1610.0,0.0,1948,0,98065,47.5319,-121.84,1800.0,3572.0,0.0,160168
8651410740,20150219T000000,189000,3.0,1.0,860.0,5200.0,1,0,0.0,5,6.0,860.0,0.0,1969,0,98042,47.3677,-122.078,1010.0,5200.0,0.0,6060
3759500046,20150501T000000,748000,3.0,2.5,2600.0,10183.0,1,0,0.0,3,8.0,1300.0,1300.0,2004,0,98033,47.6984,-122.201,1860.0,10401.0,0.0,12783
8113600004,20140520T000000,599950,3.0,2.5,2660.0,4975.0,2,0,0.0,3,8.0,2660.0,0.0,2014,0,98118,47.5487,-122.272,1840.0,6653.0,0.0,7635
3277800729,20141016T000000,275000,3.0,1.5,1170.0,1174.0,2,0,0.0,3,7.0,840.0,330.0,2007,0,98126,47.5459,-122.376,1170.0,2537.0,0.0,2344
273800100,20141219T000000,239900,4.0,1.75,1480.0,9523.0,1,0,0.0,3,7.0,1120.0,360.0,1959,0,98030,47.3732,-122.217,1590.0,8300.0,0.0,11003
5470100090,20140905T000000,210000,3.0,1.5,1250.0,9484.0,1,0,0.0,4,7.0,1250.0,0.0,1969,0,98042,47.3675,-122.147,1320.0,9600.0,0.0,10734
7626200235,20140523T000000,464600,3.0,1.75,1120.0,5500.0,1.5,0,0.0,4,7.0,1120.0,0.0,1925,0,98136,47.5445,-122.391,1490.0,5500.0,0.0,6620
7300400670,20140729T000000,277000,4.0,2.5,1850.0,5880.0,2,0,0.0,3,8.0,1850.0,0.0,1998,0,98092,47.3322,-122.173,2370.0,6500.0,0.0,7730
2206900065,20150501T000000,380000,3.0,1.5,1430.0,11173.0,1,0,0.0,1,7.0,1430.0,0.0,1955,0,98006,47.5734,-122.153,1520.0,11659.0,0.0,12603
1431700250,20140516T000000,345000,4.0,1.0,1980.0,7991.0,1.5,0,0.0,3,7.0,1980.0,0.0,1962,0,98058,47.4604,-122.17,1730.0,7700.0,0.0,9971
4019300480,20141111T000000,502700,4.0,3.5,2710.0,14016.0,2,0,0.0,4,8.0,2710.0,0.0,1968,0,98155,47.7601,-122.286,1590.0,27903.0,0.0,16726
442000175,20150331T000000,515000,2.0,1.0,1150.0,5664.0,1,0,0.0,3,7.0,870.0,280.0,1948,0,98115,47.6894,-122.284,1380.0,5664.0,0.0,6814
3578600201,20140731T000000,650000,4.0,2.5,2860.0,5576.0,2,0,0.0,3,8.0,2860.0,0.0,2004,0,98028,47.745,-122.224,2290.0,10667.0,0.0,8436
924059233,20141208T000000,659000,4.0,2.0,2350.0,9329.0,2,0,0.0,3,8.0,2350.0,0.0,1977,0,98005,47.583,-122.17,1640.0,9403.0,0.0,11679
1853080180,20141026T000000,810000,5.0,3.25,3290.0,6422.0,2,0,0.0,3,9.0,3290.0,0.0,2012,0,98074,47.5933,-122.061,3210.0,6891.0,1.0,9712
2172000846,20140619T000000,248000,4.0,2.0,2080.0,13510.0,1,0,0.0,3,7.0,1040.0,1040.0,1950,0,98178,47.4918,-122.258,2010.0,11625.0,0.0,15590
3744000040,20140722T000000,518380,4.0,2.5,2810.0,4500.0,2,0,0.0,3,9.0,2810.0,0.0,2014,0,98038,47.3552,-122.023,2980.0,5046.0,1.0,7310
1026069095,20140624T000000,839000,3.0,2.5,3200.0,203425.0,1,0,0.0,3,10.0,3200.0,0.0,2000,0,98077,47.7614,-122.015,3200.0,203425.0,1.0,206625
6300000396,20141216T000000,375000,3.0,1.75,1380.0,5060.0,1,0,0.0,3,7.0,1380.0,0.0,1986,0,98133,47.7059,-122.341,1030.0,5060.0,0.0,6440
7228500375,20150210T000000,430000,4.0,2.0,1990.0,4740.0,1,0,0.0,3,7.0,1080.0,910.0,1926,0,98122,47.6112,-122.303,1560.0,2370.0,0.0,6730
1545801410,20150128T000000,276900,3.0,2.5,1620.0,7320.0,2,0,0.0,3,7.0,1620.0,0.0,1989,0,98038,47.3617,-122.054,1550.0,7686.0,0.0,8940
2887700875,20140723T000000,344000,2.0,1.0,1060.0,3325.0,1.5,0,0.0,4,6.0,770.0,290.0,1932,0,98115,47.6896,-122.307,1820.0,4275.0,0.0,4385
3450300280,20150225T000000,460000,5.0,4.5,3100.0,7260.0,2,0,0.0,3,8.0,3100.0,0.0,1963,2000,98059,47.5004,-122.162,1650.0,7700.0,0.0,10360
1742800060,20140612T000000,501000,3.0,1.75,1970.0,7972.0,1,0,3.0,5,8.0,1370.0,600.0,1976,0,98055,47.4908,-122.225,2460.0,9796.0,0.0,9942
139000185,20150428T000000,800000,3.0,2.5,2100.0,4440.0,2,0,4.0,3,7.0,2100.0,0.0,1945,0,98116,47.5865,-122.397,2100.0,6000.0,0.0,6540
3057000070,20141027T000000,289000,2.0,1.5,1160.0,2158.0,2,0,0.0,3,7.0,1160.0,0.0,1982,0,98034,47.7178,-122.19,1150.0,2158.0,0.0,3318
9264920250,20140710T000000,290256,3.0,2.25,1720.0,7885.0,2,0,0.0,3,8.0,1720.0,0.0,1983,0,98023,47.3136,-122.344,2340.0,7885.0,0.0,9605
5379804393,20150217T000000,325000,4.0,2.75,1960.0,8937.0,1,0,0.0,5,7.0,980.0,980.0,1954,0,98188,47.451,-122.278,1480.0,10016.0,0.0,10897
8655900162,20150219T000000,156000,1.0,0.75,470.0,15000.0,1,0,0.0,3,4.0,470.0,0.0,1947,0,98014,47.6554,-121.908,1730.0,22500.0,0.0,15470
6639900176,20141114T000000,551000,3.0,2.5,2010.0,17362.0,2,0,0.0,3,8.0,2010.0,0.0,1994,0,98033,47.6904,-122.176,1920.0,7200.0,0.0,19372
2781100080,20141210T000000,438900,4.0,2.5,2740.0,5700.0,2,0,0.0,3,9.0,2740.0,0.0,2006,0,98038,47.3535,-122.026,3010.0,5281.0,1.0,8440
8945300290,20150226T000000,160000,3.0,1.0,880.0,8976.0,1,0,0.0,4,6.0,880.0,0.0,1966,0,98023,47.3056,-122.368,990.0,8760.0,0.0,9856
126039323,20150224T000000,417500,5.0,1.75,2060.0,10911.0,1,0,0.0,4,7.0,1360.0,700.0,1954,0,98177,47.7767,-122.365,2060.0,9688.0,0.0,12971
2005950050,20140527T000000,260000,3.0,2.0,1630.0,8018.0,1,0,0.0,3,7.0,1630.0,0.0,2003,0,98001,47.2638,-122.243,1610.0,8397.0,0.0,9648
1245001820,20150429T000000,776500,4.0,1.5,2290.0,10372.0,1,0,0.0,3,7.0,1510.0,780.0,1965,1987,98033,47.6888,-122.199,1900.0,8109.0,0.0,$
1445200190,20150424T000000,284900,2.0,1.5,1160.0,982.0,2,0,0.0,3,7.0,890.0,270.0,2006,0,98155,47.7675,-122.315,1160.0,1008.0,0.0,2142
869700350,20150429T000000,330000,2.0,2.5,1310.0,2915.0,2,0,0.0,3,8.0,1310.0,0.0,1999,0,98059,47.4911,-122.154,1310.0,3425.0,0.0,4225
7849202299,20150218T000000,320000,0.0,2.5,1490.0,7111.0,2,0,0.0,3,7.0,1490.0,0.0,1999,0,98065,47.5261,-121.826,1500.0,4675.0,0.0,8601
1545805460,20150204T000000,252000,3.0,2.0,1370.0,7500.0,1,0,0.0,3,7.0,1370.0,0.0,1997,0,98038,47.3634,-122.046,1420.0,7500.0,0.0,8870
5154200015,20150414T000000,1710000,3.0,3.0,2490.0,27702.0,2,1,4.0,3,10.0,2490.0,0.0,2000,0,98116,47.5596,-122.403,2580.0,12119.0,1.0,30192
889000024,20150316T000000,645000,3.0,2.25,1640.0,1023.0,3,0,0.0,3,8.0,1640.0,0.0,2014,0,98105,47.6636,-122.319,1720.0,1960.0,0.0,2663
2927600675,20140609T000000,480000,4.0,1.75,2220.0,6500.0,2,0,3.0,4,8.0,2220.0,0.0,1964,0,98166,47.4519,-122.375,2430.0,11600.0,0.0,8720
2619950740,20150109T000000,435000,3.0,2.5,2260.0,5100.0,2,0,0.0,3,8.0,2260.0,0.0,2007,0,98019,47.7341,-121.968,2260.0,5100.0,0.0,7360
120059044,20150217T000000,250000,3.0,1.75,1628.0,286355.0,1,0,0.0,3,7.0,1628.0,0.0,1996,0,98092,47.2558,-122.122,1490.0,216344.0,0.0,287983
4014400292,20150114T000000,465000,3.0,2.5,2714.0,17936.0,2,0,0.0,3,9.0,2714.0,0.0,2005,0,98001,47.3185,-122.275,2590.0,18386.0,1.0,20650
626710220,20140813T000000,475000,3.0,2.5,2160.0,35912.0,2,0,0.0,3,8.0,2160.0,0.0,1982,0,98077,47.7273,-122.083,2230.0,35244.0,0.0,38072
5272200005,20150218T000000,175000,2.0,1.0,1160.0,6911.0,1,0,0.0,3,7.0,1160.0,0.0,1947,0,98125,47.7149,-122.318,1120.0,6948.0,0.0,8071
4139430250,20150330T000000,1440000,4.0,3.5,4970.0,16582.0,2,0,3.0,4,11.0,3930.0,1040.0,1992,0,98006,47.5496,-122.12,3580.0,13335.0,1.0,21552
6058600220,20140731T000000,230000,3.0,1.5,1040.0,1264.0,2,0,0.0,3,9.0,900.0,140.0,2015,0,98144,47.5951,-122.301,1350.0,3000.0,1.0,2304
3421069044,20141223T000000,390000,3.0,1.75,2092.0,250905.0,1,0,0.0,3,7.0,2092.0,0.0,1981,0,98022,47.2664,-122.027,2092.0,217800.0,0.0,252997
705730280,20140819T000000,325000,3.0,2.5,1740.0,5267.0,2,0,0.0,3,7.0,1740.0,0.0,1999,0,98038,47.3777,-122.023,2180.0,5000.0,0.0,7007
3362400125,20150303T000000,405000,3.0,2.0,1060.0,651.0,3,0,0.0,3,7.0,1060.0,0.0,2007,0,98103,47.6828,-122.345,1440.0,1501.0,0.0,1711
2402100055,20140716T000000,670000,4.0,3.0,2500.0,5000.0,1.5,0,0.0,4,7.0,1460.0,1040.0,1926,0,98103,47.6895,-122.331,1720.0,4500.0,0.0,7500
1624079024,20140515T000000,720000,3.0,2.5,3150.0,151588.0,2,0,0.0,3,9.0,3150.0,0.0,2007,0,98024,47.572,-121.926,2410.0,208652.0,1.0,154738
3959400335,20150423T000000,560000,3.0,2.0,1640.0,7333.0,1,0,0.0,4,7.0,1020.0,620.0,1941,0,98108,47.5636,-122.316,2130.0,4933.0,0.0,8973
6705850140,20141009T000000,750000,4.0,2.75,3170.0,7634.0,2,0,0.0,3,10.0,3170.0,0.0,1992,0,98075,47.5774,-122.054,2940.0,7846.0,1.0,10804
8663260030,20141118T000000,416000,3.0,2.5,1800.0,5372.0,2,0,0.0,3,8.0,1800.0,0.0,1987,0,98034,47.7188,-122.177,1650.0,6014.0,0.0,7172
8732131200,20140808T000000,258000,3.0,1.75,2270.0,9000.0,1,0,0.0,4,8.0,1330.0,940.0,1978,0,98023,47.3077,-122.381,2090.0,8400.0,0.0,11270
8563000130,20140717T000000,445000,3.0,1.75,1490.0,10844.0,1,0,0.0,3,7.0,1210.0,280.0,1974,0,98008,47.6208,-122.106,2090.0,9944.0,0.0,12334
3303980140,20150402T000000,1150000,4.0,3.0,4160.0,13170.0,2,0,0.0,3,11.0,3040.0,1120.0,2001,0,98059,47.5182,-122.149,3780.0,13148.0,1.0,17330
1250200415,20140609T000000,352750,2.0,1.75,1060.0,1241.0,2,0,0.0,3,7.0,960.0,100.0,2008,0,98144,47.5999,-122.3,1170.0,1400.0,0.0,2301
7844200050,20140522T000000,330000,5.0,2.25,2000.0,7900.0,1,0,0.0,4,7.0,1300.0,700.0,1986,0,98188,47.4291,-122.292,2000.0,9132.0,0.0,9900
7852130430,20140806T000000,425000,4.0,2.5,2390.0,5021.0,2,0,0.0,3,7.0,2390.0,0.0,2002,0,98065,47.5353,-121.879,2520.0,5333.0,0.0,7411
3735901600,20140606T000000,435000,2.0,1.0,1260.0,4080.0,1.5,0,0.0,5,7.0,1260.0,0.0,1926,0,98115,47.687,-122.32,1720.0,4080.0,0.0,5340
7701930180,20141110T000000,600000,4.0,3.5,4300.0,70407.0,2,0,0.0,3,10.0,2710.0,1590.0,1992,0,98058,47.4472,-122.092,3520.0,26727.0,1.0,74707
1121000095,20141105T000000,320000,2.0,1.0,1120.0,5329.0,1,0,1.0,3,6.0,750.0,370.0,1929,0,98126,47.5421,-122.378,1530.0,5330.0,0.0,6449
8920100066,20140820T000000,1480000,4.0,3.5,5220.0,15411.0,2,0,3.0,3,11.0,3550.0,1670.0,2006,0,98075,47.592,-122.085,3110.0,14124.0,1.0,20631
2258500045,20140923T000000,317500,2.0,1.0,1000.0,5120.0,1,0,0.0,3,6.0,1000.0,0.0,1902,0,98122,47.6088,-122.307,1940.0,4300.0,0.0,6120
3395041206,20140925T000000,285000,3.0,2.5,1800.0,2516.0,2,0,0.0,3,7.0,1800.0,0.0,2001,0,98108,47.5401,-122.293,1800.0,2562.0,0.0,4316
4458800060,20150409T000000,957500,4.0,2.25,2360.0,11523.0,2,0,0.0,4,10.0,2360.0,0.0,1968,0,98040,47.5318,-122.224,2850.0,11362.0,1.0,13883
6163900073,20140905T000000,180000,2.0,1.0,770.0,9370.0,1,0,0.0,3,7.0,770.0,0.0,1947,0,98155,47.762,-122.321,1060.0,9352.0,0.0,10140
8682291840,20150331T000000,408000,,,1200.0,3900.0,1,0,0.0,$,8.0,1200.0,0.0,2006,0,98053,47.72,-122.024,,5580.0,0.0,5100
6303401150,20140924T000000,125000,2.0,1.0,810.0,8382.0,1,0,0.0,4,5.0,810.0,0.0,1942,0,98146,47.5033,-122.358,1040.0,8382.0,0.0,9192
3797001900,20140922T000000,360000,3.0,1.5,1360.0,6000.0,1,0,0.0,3,6.0,860.0,500.0,1911,0,98103,47.6846,-122.345,1560.0,3000.0,0.0,7360
3861470120,20141126T000000,1610000,4.0,2.75,4270.0,25807.0,2,0,0.0,3,11.0,4270.0,0.0,1996,0,98004,47.5951,-122.206,3860.0,20723.0,1.0,30077
1253200290,20150212T000000,265000,4.0,1.75,1860.0,9112.0,1,0,0.0,4,7.0,1110.0,750.0,1963,0,98032,47.3792,-122.282,1570.0,9112.0,0.0,10972
8155830060,20140811T000000,297000,3.0,2.25,1450.0,7562.0,2,0,0.0,3,7.0,1450.0,0.0,1994,0,98056,47.5038,-122.189,1650.0,7625.0,0.0,9012
7853360850,20150116T000000,471500,3.0,2.5,2430.0,5866.0,2,0,0.0,3,7.0,2430.0,0.0,2009,0,98065,47.5158,-121.871,2380.0,5866.0,0.0,8296
9141100210,20140908T000000,257000,2.0,1.0,770.0,9497.0,1,0,0.0,3,6.0,770.0,0.0,1950,0,98133,47.7407,-122.351,1550.0,7532.0,0.0,10267
9290900160,20140911T000000,1430000,4.0,2.5,3380.0,27589.0,2,0,0.0,3,10.0,3380.0,0.0,1966,0,98004,47.6292,-122.225,3390.0,20075.0,1.0,30969
1853080130,20141105T000000,924000,5.0,2.75,3210.0,8001.0,2,0,0.0,3,9.0,3210.0,0.0,2014,0,98074,47.5935,-122.061,3190.0,6624.0,1.0,11211
2303900045,20140623T000000,1580000,4.0,2.5,4570.0,74487.0,2,0,4.0,5,12.0,4570.0,0.0,1948,1985,98177,47.7282,-122.372,3810.0,74487.0,1.0,79057
3442000127,20140530T000000,685000,4.0,2.5,2310.0,5100.0,2,0,0.0,3,9.0,2310.0,0.0,2013,0,98177,47.7039,-122.36,1260.0,5100.0,1.0,7410
6021500320,20150507T000000,709000,4.0,1.75,2170.0,4600.0,1,0,0.0,3,7.0,1270.0,900.0,1950,0,98117,47.6894,-122.384,1750.0,4000.0,0.0,6770
686400380,20141002T000000,770000,7.0,2.25,3260.0,8145.0,2,0,0.0,5,8.0,3260.0,0.0,1967,0,98008,47.6336,-122.115,2340.0,8145.0,0.0,11405
1775800860,20150428T000000,469500,3.0,2.25,1850.0,12000.0,1,0,0.0,4,7.0,1300.0,550.0,1977,0,98072,47.7408,-122.101,1580.0,12616.0,0.0,13850
6181400470,20150127T000000,215000,4.0,2.5,2130.0,4496.0,2,0,0.0,3,7.0,2130.0,0.0,2004,0,98001,47.3041,-122.28,3220.0,5400.0,0.0,6626
6909200401,20140908T000000,536500,4.0,2.5,1720.0,3515.0,2,0,2.0,3,8.0,1470.0,250.0,2000,0,98144,47.591,-122.293,1140.0,2208.0,0.0,5235
4036800580,20140621T000000,418000,4.0,1.5,1550.0,9176.0,1,0,0.0,3,7.0,1000.0,550.0,1956,0,98008,47.6005,-122.129,1730.0,8539.0,0.0,10726
1238501188,20140808T000000,1040000,4.0,2.5,2910.0,9131.0,2,0,0.0,3,10.0,2910.0,0.0,2014,0,98033,47.6826,-122.186,1880.0,11212.0,1.0,12041
369000690,20140812T000000,403504,4.0,1.0,1060.0,5750.0,1,0,0.0,3,6.0,950.0,110.0,1904,0,98199,47.6562,-122.389,1790.0,5857.0,0.0,6810
2268000370,20140708T000000,190000,3.0,1.0,910.0,10575.0,1,0,0.0,4,7.0,910.0,0.0,1968,0,98003,47.2741,-122.301,1470.0,10425.0,0.0,11485
567000268,20140821T000000,450000,3.0,2.5,1639.0,2710.0,2,0,0.0,3,8.0,1479.0,160.0,2003,0,98144,47.5924,-122.294,1580.0,1733.0,0.0,4349
1311910300,20150204T000000,260000,5.0,2.25,2320.0,6375.0,1,0,0.0,4,7.0,1270.0,1050.0,1967,0,98001,47.3351,-122.282,1760.0,7600.0,0.0,8695
8562740520,20140806T000000,855000,5.0,3.25,3420.0,5669.0,2,0,,,9.0,2620.0,800.0,2003,0,98027,47.5366,-122.067,,6006.0,1.0,9089
510001400,20140630T000000,765000,5.0,3.0,2870.0,5700.0,1,0,0.0,3,7.0,1950.0,920.0,1964,0,98103,47.6621,-122.33,1730.0,5529.0,0.0,8570
6448000090,20140512T000000,1580000,5.0,2.75,3650.0,20150.0,1,0,0.0,4,10.0,2360.0,1290.0,1975,0,98004,47.6215,-122.224,3220.0,19800.0,1.0,23800
9468200163,20140709T000000,680000,3.0,2.0,1780.0,5720.0,1,0,0.0,5,7.0,980.0,800.0,1925,0,98103,47.6794,-122.351,1620.0,5050.0,0.0,7500
1312930250,20140528T000000,242000,3.0,1.75,1310.0,9645.0,1,0,0.0,3,7.0,1310.0,0.0,1979,0,98198,47.4051,-122.29,1440.0,9893.0,0.0,10955
2473450430,20140527T000000,399000,4.0,2.5,2870.0,9292.0,2,0,0.0,3,8.0,2540.0,330.0,1979,0,98058,47.4522,-122.123,2590.0,7533.0,0.0,12162
5468780250,20140508T000000,325900,4.0,2.5,2320.0,6270.0,2,0,0.0,3,8.0,2320.0,0.0,2004,0,98042,47.3501,-122.14,2150.0,6270.0,0.0,8590
6450302545,20150508T000000,443000,3.0,1.0,1280.0,5460.0,1.5,0,0.0,4,7.0,1280.0,0.0,1931,0,98133,47.7321,-122.334,1390.0,5500.0,0.0,6740
1922039062,20150420T000000,480000,2.0,1.5,1008.0,26487.0,1,1,4.0,4,6.0,1008.0,0.0,1943,2002,98070,47.3853,-122.479,1132.0,24079.0,0.0,27495
3034200067,20141218T000000,620000,4.0,2.5,2730.0,9260.0,2,0,0.0,3,8.0,2730.0,0.0,2008,0,98133,47.7222,-122.331,2730.0,7357.0,0.0,11990
9558020610,20140512T000000,335000,3.0,2.5,1940.0,4927.0,2,0,0.0,3,8.0,1940.0,0.0,2004,0,98058,47.4479,-122.12,2070.0,4892.0,0.0,6867
421049170,20140717T000000,239000,3.0,1.0,1510.0,15022.0,1,0,0.0,3,7.0,1510.0,0.0,1962,0,98003,47.3304,-122.304,1510.0,12970.0,0.0,16532
1951800580,20141024T000000,590000,4.0,2.5,3700.0,12500.0,1,0,0.0,5,8.0,1920.0,1780.0,1973,0,98006,47.5403,-122.168,2020.0,8350.0,0.0,16200
7211402105,20141126T000000,106000,1.0,1.0,560.0,5700.0,1,0,0.0,3,5.0,560.0,0.0,1947,0,98146,47.511,-122.359,1120.0,5000.0,0.0,6260
3330501975,20141117T000000,475000,5.0,2.0,2040.0,6180.0,2,0,0.0,4,7.0,2040.0,0.0,1908,0,98118,47.5503,-122.28,1870.0,4365.0,0.0,8220
1250200285,20150317T000000,261500,3.0,1.0,1130.0,3600.0,1,0,0.0,3,6.0,1130.0,0.0,1908,0,98144,47.5978,-122.299,1710.0,2231.0,0.0,4730
7215400770,20140623T000000,260000,4.0,2.5,2000.0,37045.0,2,0,0.0,3,8.0,2000.0,0.0,1989,0,98042,47.3398,-122.071,2390.0,36868.0,0.0,39045
629410190,20140619T000000,712000,3.0,2.75,3200.0,6699.0,2,0,0.0,3,9.0,3200.0,0.0,2004,0,98075,47.5884,-121.991,3020.0,6699.0,1.0,9899
8099900040,20141111T000000,519950,5.0,3.5,2440.0,10200.0,2,0,0.0,4,7.0,2440.0,0.0,1974,0,98075,47.5814,-122.003,2000.0,10568.0,0.0,12640
1745100140,20141017T000000,210000,3.0,1.0,1700.0,11390.0,1,0,0.0,4,7.0,1700.0,0.0,1967,0,98003,47.3271,-122.323,1350.0,8164.0,0.0,13090
1239400570,20141117T000000,860000,3.0,1.75,2180.0,14135.0,1,0,2.0,5,8.0,1300.0,880.0,1947,0,98033,47.673,-122.187,3540.0,10318.0,0.0,16315
522079068,20150506T000000,513000,3.0,2.5,2150.0,161607.0,2,0,0.0,3,7.0,1330.0,820.0,1995,0,98038,47.4178,-121.937,2400.0,207781.0,0.0,163757
2113700780,20150113T000000,320000,3.0,1.0,1060.0,5000.0,1,0,0.0,3,7.0,1060.0,0.0,1958,0,98106,47.5294,-122.354,1220.0,4600.0,0.0,6060
7212680850,20140903T000000,258000,3.0,2.5,1730.0,6930.0,2,0,0.0,3,8.0,1730.0,0.0,1994,0,98003,47.2621,-122.308,1780.0,6930.0,0.0,8660
1313300400,20140701T000000,435000,3.0,2.5,2530.0,13446.0,2,0,0.0,3,9.0,2530.0,0.0,1993,0,98019,47.7345,-121.961,2450.0,13446.0,1.0,15976
7137960110,20150306T000000,284000,4.0,3.0,2040.0,7145.0,1,0,0.0,3,8.0,1490.0,550.0,1994,0,98092,47.3275,-122.171,1940.0,7145.0,0.0,9185
2461900375,20150414T000000,685000,4.0,2.5,2770.0,6000.0,2,0,0.0,3,8.0,2400.0,370.0,1993,0,98136,47.5536,-122.383,2120.0,6000.0,0.0,8770
9273200145,20141010T000000,1260000,3.0,3.5,3220.0,3960.0,2,0,4.0,3,10.0,2760.0,460.0,1991,0,98116,47.5909,-122.384,3080.0,4444.0,1.0,7180
1921069082,20140512T000000,560000,3.0,2.0,2560.0,216777.0,1,0,0.0,3,8.0,2560.0,0.0,1986,0,98092,47.295,-122.086,2360.0,108463.0,0.0,219337
9407102245,20140604T000000,310000,3.0,2.0,1350.0,11150.0,1,0,0.0,3,7.0,1110.0,240.0,1995,0,98045,47.446,-121.776,1290.0,10043.0,0.0,12500
1623059092,20140509T000000,270000,3.0,2.0,1690.0,9583.0,1,0,0.0,4,7.0,1690.0,0.0,1969,0,98059,47.4825,-122.164,1690.0,9583.0,0.0,11273
